model,label_score,category_score,target_score,background_score,logic_score,total_score
deepseek-v3,1.6225895316804408,0.5674931129476584,0.699724517906336,2.3884297520661155,2.6942148760330578,7.972451790633609
doubao-seed-1-6-250615,1.6501377410468319,0.5702479338842975,0.696969696969697,2.212121212121212,2.371900826446281,7.5013774104683195
gemini-2.5-pro,1.6391184573002755,0.5702479338842975,0.7024793388429752,2.840220385674931,2.9173553719008263,8.669421487603305
gpt-4o,1.6446280991735538,0.5702479338842975,0.6942148760330579,2.349862258953168,2.4986225895316805,7.757575757575758
kimi-k2-instruct,1.6225895316804408,0.5564738292011019,0.6942148760330579,2.4600550964187327,2.746556473829201,8.079889807162534
qwen-max,1.6170798898071626,0.5702479338842975,0.699724517906336,2.1294765840220387,2.1983471074380163,7.214876033057851
